lead_time,count,mean_error,std_error,min_error,max_error,mean_abs_error
1.0,18120,5.408761462853703,12.889055297372455,-0.1800000160932541,299.18999330811204,5.408802301709748
2.0,18120,11.173426896916864,15.518045939008644,-0.060000018775463126,299.00999331213535,11.173433519435491
3.0,18120,19.194895260669007,20.017335460958243,0.479999967366457,298.8699933152646,19.194895260669007
4.0,18120,28.790486657669494,25.76581441727326,1.0999999658018351,365.2899918288738,28.790486657669494
5.0,18120,38.703638753973706,31.389502762757335,1.4499999584257606,402.62999099425974,38.703638753973706
6.0,18120,47.71535875122117,36.20463061403657,1.6999999530613423,493.3099889674038,47.71535875122117
7.0,18120,55.097318851121834,39.98479507111844,1.879999949261546,572.5399871964753,55.097318851121834
8.0,18120,60.69233969736548,42.938866652485125,2.02999994635582,634.0199858222902,60.69233969736548
9.0,18119,64.64614326734798,45.00679870928559,2.209999942556024,679.0299848162383,64.64614326734798
10.0,18118,67.3074926945602,46.382238033489436,2.4299999378621577,709.9099841260165,67.3074926945602
11.0,18117,69.04216547657416,47.284217288609064,2.5999999342858793,730.2499836713821,69.04216547657416
12.0,18116,70.1464148539134,47.857227047565026,2.6299999338388442,743.2599833805859,70.1464148539134
13.0,18115,70.83742871737621,48.217565374184126,2.5299999360740184,751.4299831979722,70.83742871737621
14.0,18114,71.26560345829154,48.44179233546622,2.37999993942678,756.4999830846489,71.26560345829154
15.0,18113,71.52771440064988,48.58028227905313,2.229999942779541,759.6199830149114,71.52771440064988
16.0,18112,71.68971018523584,48.662562497675694,2.169999944120645,761.5199829724431,71.68971018523584
17.0,18111,71.79201594805282,48.71335103619545,2.199999943450093,762.6899829462916,71.79201594805282
18.0,18110,71.85782886858952,48.748105014668525,2.2199999430030584,763.7299829230458,71.85782886858952
