CC,RMSE,PBIAS,NSE,lead_time
-0.013692296707574245,13.977599179503182,2137.8363905974206,-9873.93282500187,1.0
-0.03232128615283812,19.121765835420074,4416.008222323045,-18471.189122058822,2.0
-0.047987034546591624,27.732933665313727,7585.723741424847,-38836.29784470352,3.0
-0.057890374418552534,38.635898808707054,11377.132450314175,-75345.62531624612,4.0
-0.06422341040487366,49.83189902123725,15293.544096640473,-125296.21728785595,5.0
-0.0687798338937438,59.89539548300084,18853.16334942864,-180950.42400313338,6.0
-0.07105895905364938,68.07650217481759,21768.66927117481,-233691.9397045499,7.0
-0.07158248492719926,74.34517210511173,23977.874093889946,-278638.6109939942,8.0
-0.07166831759294075,78.76943549577268,25537.650961926796,-312713.6336160729,9.0
-0.0716432346412891,81.74039294552979,26587.592499957307,-336714.2797627838,10.0
-0.07162769720829217,83.68090827358667,27270.71758894321,-352870.54691322276,11.0
-0.07182931360332064,84.91588351186894,27703.962561200424,-363380.275435501,12.0
-0.07198368441457793,85.68982772122916,27975.3305823947,-370011.1628113262,13.0
-0.07211687326829917,86.16997118683274,28142.443515720217,-374173.94760726276,14.0
-0.07221704760089986,86.46460234173408,28245.314165784905,-376785.09323709225,15.0
-0.07229597517122686,86.64484283989387,28308.523464820297,-378431.6725035768,16.0
-0.07234265430078207,86.75801460521146,28348.77785243277,-379524.1094153398,17.0
-0.07232983208927445,86.83198772996849,28375.24052178614,-380311.2016101467,18.0
