lead_time,count,mean_error,std_error,min_error,max_error,mean_abs_error
1.0,17239,-0.28018715807904493,1.3638097861682452,-28.050000714808704,23.569998162910345,0.7050435355721486
2.0,17239,-0.34010184042689345,1.7389361647184007,-31.40000181093812,23.569998162910345,0.8572495822634847
3.0,17239,-0.41520050387186525,2.206304164532585,-45.54000149488449,28.719998047798875,1.0398468043116622
4.0,17239,-0.5059323648860331,2.7197506331488643,-60.24000116631389,30.44999800913036,1.2499274866948562
5.0,17239,-0.6040855838368002,3.272384597869928,-73.07000087954104,26.639998094290497,1.4917487348830083
6.0,17239,-0.6936206950352668,3.8746694277056917,-84.61000078611076,25.619998117089274,1.7727707899633278
7.0,17239,-0.7592602757206678,4.550395687528705,-95.25000069379807,31.419998234435916,2.1013923731971826
8.0,17239,-0.7923914415826647,5.307016598624567,-104.30000049151481,37.82999807216227,2.4823784341251978
9.0,17238,-0.7956117323259088,6.1202443743644785,-112.06000041931867,44.80999786540866,2.895643985944804
10.0,17237,-0.784601494055077,6.9498341295082655,-117.66000029414892,50.379997734650956,3.3278029967622587
11.0,17236,-0.7772876613162907,7.739453701363652,-122.02000026017427,54.92999764569104,3.7523857777008187
12.0,17235,-0.7866303574618371,8.435867256137652,-122.61000024698674,57.57999757997692,4.149625544097899
13.0,17234,-0.818025806884396,9.01332666755949,-124.7600001989305,59.389997546002284,4.503372395041481
14.0,17233,-0.87373458552917,9.472698228779134,-125.50000018239021,60.76999751515688,4.808927042831611
15.0,17232,-0.9504525617469634,9.831166814216099,-127.49000013791024,61.61999748967588,5.068912459174868
16.0,17231,-1.0406227171773677,10.100037939567654,-126.33000016383826,61.529997485429035,5.288007153459567
17.0,17230,-1.1387895242097021,10.302223663861216,-127.2300001437217,61.539997497946025,5.472196105633827
18.0,17229,-1.2404468267285433,10.453332314620644,-126.84000015243888,60.77999751493336,5.627203780118234
